og_index,tconst
1093517,10218172
1093617,10218348
1093797,10218664
1093803,10218674
1093833,10218724
1093867,10218782
1093894,10218834
1093896,10218838
1093923,10218882
1093939,10218912
1094041,10219120
1094054,10219146
1094084,10219196
1094163,10219328
1094208,10219406
1094366,10219674
1094399,10219730
1094632,10220138
1094644,10220158
1094698,10220248
1095268,10221218
1095611,10221796
1096133,10222704
1096156,10222752
1096355,10223114
1096475,10223328
1096599,10223546
1096603,10223552
1096856,10224038
1096901,10224122
1097066,10224422
1097174,10224624
1097227,10224714
1097241,10224738
1097267,10224786
1097280,10224808
1097333,10224896
1097342,10224912
1097444,10225092
1097555,10225288
1097564,10225308
1097759,10225664
1097776,10225702
1097792,10225730
1097880,10225882
1097956,10226012
1098648,10227188
1098701,10227282
1098760,10227394
1098947,10227710
1098973,10227754
1099217,10228168
1099225,10228180
1099228,10228188
1099237,10228204
1099241,10228214
1099243,10228218
1099609,10228896
1099799,10229222
1099986,10229588
1099991,10229598
1099994,10229602
1100009,10229632
1100124,10229846
1100172,10229930
1100175,10229936
1100234,10230042
1100359,10230258
1100377,10230288
1100394,10230316
1100445,10230404
1100473,10230450
1100504,10230504
1100560,10230604
1100620,10230716
1101064,10231478
1101483,10232196
1101566,10232336
1101795,10232718
1101845,10232800
1101994,10233050
1102167,10233354
1102180,10233388
1102241,10233502
1102242,10233504
1102471,10233908
1102544,10234040
1102644,10234240
1102674,10234292
1102752,10234438
1102783,10234494
1102911,10234732
1102915,10234740
1103051,10234992
1103066,10235018
1103121,10235118
1103286,10235408
1103503,10235786
1103817,10236328
1104472,10237482
1104529,10237578
1104538,10237592
1104550,10237612
1104565,10237638
1104585,10237670
1104591,10237680
1104717,10237902
1104843,10238116
1104986,10238358
1105082,10238520
1105169,10238680
1105187,10238712
1105231,10238788
1105247,10238816
1105290,10238890
1105304,10238916
1105441,10239154
1105481,10239220
1105678,10239560
1105690,10239580
1105893,10239930
1106166,10240428
1106171,10240438
1106173,10240440
1106293,10240656
1106310,10240688
1106330,10240720
1106345,10240746
1106349,10240752
1106427,10240886
1106495,10241002
1106508,10241024
1106814,10241562
1106826,10241582
1107139,10242126
1107242,10242304
1107591,10242898
1107900,10243430
1107925,10243474
1107951,10243528
1107991,10243608
1108013,10243644
1108020,10243656
1108032,10243678
1108084,10243774
1108140,10243870
1108151,10243890
1108191,10243958
1108208,10243988
1108439,10244396
1108458,10244428
1108553,10244592
1108630,10244726
1108646,10244754
1108647,10244756
1108650,10244760
1108736,10244910
1108990,10245360
1108991,10245362
1109133,10245616
1109325,10245956
1109384,10246058
1109432,10246140
1109540,10246332
1109586,10246412
1110020,10247160
1110704,10248334
1111298,10249374
1111450,10249642
1111529,10249780
1111566,10249842
1111880,10250386
1111987,10250578
1112086,10250750
1112098,10250770
1112109,10250790
1112140,10250842
1112160,10250876
1112237,1025100
1112410,10251300
1112447,10251362
1112482,10251434
1112564,10251576
1112849,10252064
1113361,10252928
